"id"	"name"	"long"	"lat"	"ville"	"feature"	"value"
"1374463830"	"Bar de la piscine"	2.3884076	48.8831571	"Paris"	"amenity"	"bar"
"1404449817"	"Les Souffleurs"	2.3550993	48.857093	"Paris"	"amenity"	"bar"
"1411497642"	"La Chope des Halles"	2.1957034	48.8890378	"Paris"	"amenity"	"bar"
"1434075749"	"Le Rallye Tournelle"	2.3553355	48.8497121	"Paris"	"amenity"	"bar"
"1437579349"	"La fontaine Henri IV"	2.3914872	48.8716241	"Paris"	"amenity"	"bar"
"1447249019"	NA	2.5194756	48.9114195	"Paris"	"amenity"	"bar"
"1450939214"	"La tendresse"	2.4034794	48.8278377	"Paris"	"amenity"	"bar"
"1450939226"	"Le Charenton"	2.4036725	48.827707	"Paris"	"amenity"	"bar"
"1455458344"	"Tabac de la Poste"	2.2189301	48.8443615	"Paris"	"amenity"	"bar"
"1459465788"	"Le Bureau"	2.4952066	48.8383355	"Paris"	"amenity"	"bar"
"1459478739"	"La Flèche d'Or"	2.4029865	48.8594342	"Paris"	"amenity"	"bar"
"1477656356"	"Le Bar au mètre"	2.3697771	48.8637107	"Paris"	"amenity"	"bar"
"1482958092"	"Les Domaines de Sophie"	2.3386203	48.8750628	"Paris"	"amenity"	"bar"
"1484054970"	"Le Vénitien"	2.335756	48.8710599	"Paris"	"amenity"	"bar"
"1486314027"	"Le Petit Bistrot"	2.3467197	48.8706525	"Paris"	"amenity"	"bar"
"1488772080"	"Aux Deux Gares"	2.3564644	48.8784174	"Paris"	"amenity"	"bar"
"1488772097"	"Le Camélia"	2.3577149	48.8796001	"Paris"	"amenity"	"bar"
"1488772104"	"Stop Nord Est"	2.3560228	48.8768603	"Paris"	"amenity"	"bar"
"1489177443"	"La Rose Rouge"	2.3637372	48.8811904	"Paris"	"amenity"	"bar"
"1489177454"	"Le Rond Point"	2.3708586	48.8827558	"Paris"	"amenity"	"bar"
"1490922325"	"Aux Gorges du Tarn"	2.3349268	48.8700724	"Paris"	"amenity"	"bar"
"1490922371"	"Le Cesar"	2.3368573	48.8672079	"Paris"	"amenity"	"bar"
"1491914923"	"Le Chiquito"	2.2563407	48.8974645	"Paris"	"amenity"	"bar"
"1503093279"	"La Fontaine Molière"	2.3368066	48.8658764	"Paris"	"amenity"	"bar"
"1509993140"	"Le Querey"	2.5213296	48.7705913	"Paris"	"amenity"	"bar"
